City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,68.09,88,18,15.59,few clouds
1,Rikitea,PF,-23.1203,-134.9692,77.27,75,82,12.5,broken clouds
2,Kavieng,PG,-2.5744,150.7967,81.41,75,87,4.47,overcast clouds
3,Mahon,ES,39.8885,4.2658,52.36,82,20,9.22,few clouds
4,Ushuaia,AR,-54.8,-68.3,60.08,68,100,3.83,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,57.11,58,100,9.64,overcast clouds
6,Touros,BR,-5.1989,-35.4608,81.61,68,96,7.76,overcast clouds
7,Sao Filipe,CV,14.8961,-24.4956,71.31,71,100,8.86,overcast clouds
8,Kapaa,US,22.0752,-159.319,69.48,97,31,5.01,light rain
9,Meulaboh,ID,4.1363,96.1285,78.48,87,97,2.59,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,76.51,72,46,8.86,scattered clouds
11,Bethel,US,41.3712,-73.414,19.76,83,100,5.01,snow
12,Coihaique,CL,-45.5752,-72.0662,68.61,42,92,10.2,overcast clouds
13,Hasaki,JP,35.7333,140.8333,34.29,71,95,15.26,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,56.23,82,100,2.15,moderate rain
15,Uvalde,US,29.3669,-99.767,58.41,24,0,5.75,clear sky
16,Victoria,HK,22.2855,114.1577,63.25,82,66,1.01,broken clouds
17,La Ronge,CA,55.1001,-105.2842,8.82,72,75,6.91,broken clouds
18,Mount Gambier,AU,-37.8333,140.7667,58.48,86,51,7.7,broken clouds
19,Yellowknife,CA,62.456,-114.3525,-7.58,84,100,4.61,light snow
20,Tasiilaq,GL,65.6145,-37.6368,17.76,75,86,6.24,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,70.61,71,17,14.54,few clouds
22,Dikson,RU,73.5069,80.5464,2.23,93,99,21.03,overcast clouds
23,Abalak,RU,58.1286,68.5944,8.2,96,100,4.9,overcast clouds
24,Raudeberg,NO,61.9875,5.1352,38.07,88,100,7.0,light snow
25,Jamestown,US,42.097,-79.2353,16.3,39,97,5.01,overcast clouds
26,Thompson,CA,55.7435,-97.8558,-5.1,94,56,4.18,broken clouds
27,Barrow,US,71.2906,-156.7887,-9.38,70,40,11.5,scattered clouds
28,San Jose,US,37.3394,-121.895,57.42,56,0,0.0,clear sky
29,Atuona,PF,-9.8,-139.0333,76.77,79,0,12.57,clear sky
30,Saint-Quentin,FR,49.8333,3.3333,49.89,85,100,17.69,overcast clouds
31,Young,UY,-32.6833,-57.6333,82.22,41,0,7.67,clear sky
32,Kupang,ID,-10.1667,123.5833,79.74,85,100,13.98,overcast clouds
33,Flinders,AU,-34.5833,150.8552,75.2,84,100,5.99,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,-8.66,58,59,9.31,broken clouds
35,Karlshus,NO,59.352,10.8723,47.35,65,20,26.46,few clouds
36,Dingle,PH,10.9995,122.6711,75.54,90,50,1.79,scattered clouds
37,Ca Mau,VN,9.1769,105.15,75.31,83,29,3.62,scattered clouds
38,Shimoda,JP,34.6667,138.95,40.1,68,40,8.32,scattered clouds
39,Kamenka,RU,51.3223,42.7678,32.76,98,100,8.37,light snow
40,Varkaus,FI,62.3153,27.873,25.3,92,100,16.17,light snow
41,Mount Isa,AU,-20.7333,139.5,74.97,100,75,4.61,broken clouds
42,Kodiak,US,57.79,-152.4072,25.0,81,100,14.25,overcast clouds
43,Pochutla,MX,15.7432,-96.4661,86.83,44,1,5.93,clear sky
44,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,100,14.97,light snow
45,Sechura,PE,-5.5569,-80.8222,80.87,57,66,7.99,broken clouds
46,Hermanus,ZA,-34.4187,19.2345,81.9,62,0,20.94,clear sky
47,Bathsheba,BB,13.2167,-59.5167,84.81,77,40,20.71,scattered clouds
48,Saskylakh,RU,71.9167,114.0833,-18.83,96,91,3.58,overcast clouds
49,Coahuayana,MX,18.7333,-103.6833,85.48,38,0,3.8,clear sky
50,Rio Gallegos,AR,-51.6226,-69.2181,68.05,34,75,14.97,broken clouds
51,Hithadhoo,MV,-0.6,73.0833,81.75,68,100,4.88,overcast clouds
52,Takoradi,GH,4.8845,-1.7554,82.78,70,61,11.52,broken clouds
53,Shenjiamen,CN,29.9576,122.298,41.4,87,99,18.12,light rain
54,Fortuna,US,40.5982,-124.1573,43.14,81,0,6.91,clear sky
55,Bluff,NZ,-46.6,168.3333,57.96,84,100,6.38,moderate rain
56,Saint-Augustin,CA,51.226,-58.6502,4.77,74,85,12.26,overcast clouds
57,Ustyuzhna,RU,58.8394,36.4321,6.12,100,93,3.27,overcast clouds
58,Banda Aceh,ID,5.5577,95.3222,78.89,84,12,8.19,few clouds
59,Chokurdakh,RU,70.6333,147.9167,-15.2,87,100,2.15,overcast clouds
60,Albany,US,42.6001,-73.9662,14.85,71,100,1.01,overcast clouds
61,Sakakah,SA,29.9697,40.2064,50.09,42,0,10.04,clear sky
62,Katherine,AU,-14.4667,132.2667,80.92,78,97,12.66,overcast clouds
63,New Glasgow,CA,45.5834,-62.6486,29.1,97,100,22.79,snow
64,Narsaq,GL,60.9167,-46.05,19.62,91,100,8.43,overcast clouds
65,Burgeo,CA,47.6167,-57.6152,34.9,99,100,20.56,snow
66,Longyearbyen,SJ,78.2186,15.6401,8.44,66,20,18.41,few clouds
67,Port Elizabeth,ZA,-33.918,25.5701,74.1,71,0,12.93,clear sky
68,Cape Town,ZA,-33.9258,18.4232,72.1,65,1,7.0,clear sky
69,Geraldton,AU,-28.7667,114.6,72.01,83,0,4.61,clear sky
70,Coquimbo,CL,-29.9533,-71.3436,69.53,64,75,13.8,broken clouds
71,Bubaque,GW,11.2833,-15.8333,78.82,63,64,18.99,broken clouds
72,Mandera,KE,3.9366,41.867,87.78,17,72,9.89,broken clouds
73,Wichita Falls,US,33.9137,-98.4934,54.16,35,0,8.05,clear sky
74,Laguna De Duero,ES,41.5815,-4.7233,58.84,23,0,3.44,clear sky
75,Provideniya,RU,64.3833,-173.3,1.13,90,13,4.92,few clouds
76,New Norfolk,AU,-42.7826,147.0587,60.93,98,14,0.69,few clouds
77,Puerto Leguizamo,CO,-0.1934,-74.7819,89.4,34,100,5.57,overcast clouds
78,El Reno,US,35.5323,-97.955,57.18,25,0,11.5,clear sky
79,Lebu,CL,-37.6167,-73.65,65.68,72,17,8.77,few clouds
80,Inuvik,CA,68.3499,-133.7218,-23.73,96,75,6.08,broken clouds
81,Mar Del Plata,AR,-38.0023,-57.5575,80.62,62,0,11.01,clear sky
82,Mastic Beach,US,40.7668,-72.8521,21.38,87,100,8.01,fog
83,Moose Factory,CA,51.2585,-80.6094,1.83,89,84,2.64,broken clouds
84,Anadyr,RU,64.75,177.4833,-17.03,100,99,5.06,overcast clouds
85,Libreville,GA,0.3925,9.4537,82.42,74,100,10.0,overcast clouds
86,Black Forest,US,39.0131,-104.7008,49.87,17,0,6.91,clear sky
87,Krasnoarmeysk,RU,51.0239,45.6969,24.15,93,100,12.33,light snow
88,Bagan,RU,54.1001,77.6646,4.19,90,99,8.19,overcast clouds
89,Port Keats,AU,-14.25,129.55,81.28,85,100,20.8,overcast clouds
90,Kot Kapura,IN,30.5833,74.9,50.32,66,3,5.1,clear sky
91,Manokwari,ID,-0.8667,134.0833,78.21,76,95,4.99,overcast clouds
92,Pangai,TO,-19.8,-174.35,82.17,75,76,14.29,light rain
93,Ponta Do Sol,PT,32.6667,-17.1,69.71,63,20,7.07,few clouds
94,Abu Dhabi,AE,24.4667,54.3667,68.11,74,0,5.75,clear sky
95,Alta Floresta,BR,-9.8756,-56.0861,70.52,99,100,4.88,overcast clouds
96,Kaitangata,NZ,-46.2817,169.8464,56.57,76,100,4.32,light rain
97,Luderitz,NA,-26.6481,15.1594,68.34,78,62,13.62,broken clouds
98,Oranjemund,NA,-28.55,16.4333,68.0,77,13,12.95,few clouds
99,Harper,LR,4.375,-7.7169,84.06,70,75,9.8,broken clouds
100,Genhe,CN,50.7833,121.5167,-16.06,99,19,1.83,few clouds
101,Chuy,UY,-33.6971,-53.4616,76.03,57,64,9.17,broken clouds
102,Laguna,US,38.421,-121.4238,56.23,90,0,1.01,clear sky
103,Miri,MY,4.4148,114.0089,77.27,85,95,1.59,overcast clouds
104,Nchelenge,ZM,-9.3451,28.734,72.34,81,97,4.65,moderate rain
105,Yulara,AU,-25.2406,130.9889,82.24,61,100,13.8,overcast clouds
106,Gunnedah,AU,-30.9833,150.25,73.02,67,94,5.37,overcast clouds
107,Port Augusta,AU,-32.5,137.7667,76.71,61,3,8.81,clear sky
108,Monteagudo,BO,-19.8167,-63.9833,83.98,47,82,3.51,broken clouds
109,Vanavara,RU,60.34,102.2797,-4.92,99,100,3.27,overcast clouds
110,Hobart,AU,-42.8794,147.3294,61.27,75,100,1.01,overcast clouds
111,Muros,ES,42.7762,-9.0603,66.7,63,5,2.82,clear sky
112,Lavrentiya,RU,65.5833,-171.0,-4.68,84,3,4.9,clear sky
113,Cravo Norte,CO,6.3017,-70.2041,93.99,31,28,12.8,scattered clouds
114,Altay,CN,47.8667,88.1167,2.21,52,11,7.36,few clouds
115,Georgetown,MY,5.4112,100.3354,83.89,80,20,0.0,few clouds
116,Nikolskoye,RU,59.7035,30.7861,26.71,91,100,10.78,light snow
117,Vaini,TO,-21.2,-175.2,80.76,80,95,15.12,light rain
118,Butaritari,KI,3.0707,172.7902,81.9,78,31,18.37,scattered clouds
119,Iralaya,HN,15.0,-83.2333,82.49,62,15,12.03,few clouds
120,Hilo,US,19.7297,-155.09,68.25,77,0,8.05,clear sky
121,Byron Bay,AU,-28.65,153.6167,70.88,87,66,7.38,broken clouds
122,Agogo,GH,6.8,-1.0819,94.26,15,85,5.82,overcast clouds
123,Kalivia,GR,35.0583,25.2272,51.62,89,100,4.76,overcast clouds
124,Basco,PH,20.4487,121.9702,74.25,85,93,30.85,overcast clouds
125,Severo-Kurilsk,RU,50.6789,156.125,23.29,74,97,19.15,light snow
126,Alghero,IT,40.5589,8.3181,53.69,66,0,4.61,clear sky
127,Rafai,CF,4.95,23.9167,80.1,20,5,3.36,clear sky
128,Danjiangkou,CN,32.5428,111.5086,39.54,65,100,3.89,overcast clouds
129,Port Blair,IN,11.6667,92.75,78.31,78,76,10.47,broken clouds
130,Olga,RU,43.7444,135.2892,8.91,55,23,12.5,few clouds
131,Jaen,ES,38.0,-3.5,56.03,22,0,5.99,clear sky
132,Pangnirtung,CA,66.1451,-65.7125,-16.6,76,100,9.22,light snow
133,Smithers,CA,54.7804,-127.1743,27.41,98,100,2.55,light snow
134,Tambovka,RU,50.0969,128.0489,-10.08,100,97,4.94,overcast clouds
135,Nioro,GM,13.35,-15.75,97.12,10,76,7.76,broken clouds
136,Teeli,RU,51.0333,90.2333,-16.98,86,63,2.19,broken clouds
137,Richards Bay,ZA,-28.783,32.0377,72.68,86,49,6.85,moderate rain
138,Castro,BR,-24.7911,-50.0119,60.21,98,100,6.87,overcast clouds
139,Longkou,CN,37.6508,120.3286,29.88,55,27,3.06,scattered clouds
140,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.77,60,100,12.97,overcast clouds
141,Luganville,VU,-15.5333,167.1667,78.62,89,84,11.01,broken clouds
142,Muzhi,RU,65.3667,64.6667,-15.54,100,87,4.18,overcast clouds
143,Tuatapere,NZ,-46.1333,167.6833,58.68,80,100,4.81,moderate rain
144,Koungheul,SN,13.9833,-14.8,98.64,9,79,7.43,broken clouds
145,Guerrero Negro,MX,27.9769,-114.0611,64.96,39,0,2.48,clear sky
146,Maceio,BR,-9.6658,-35.7353,87.24,62,100,8.05,overcast clouds
147,Chernyshevskiy,RU,63.0128,112.4714,-25.49,100,10,2.89,clear sky
148,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,62,10.42,broken clouds
149,Nome,US,64.5011,-165.4064,0.1,59,0,0.0,clear sky
150,Pisco,PE,-13.7,-76.2167,75.02,74,25,7.67,scattered clouds
151,Carnarvon,AU,-24.8667,113.6333,75.27,94,75,10.36,broken clouds
152,Cherskiy,RU,68.75,161.3,-25.82,100,61,2.8,broken clouds
153,Sim,RU,54.993,57.6982,2.82,100,49,1.66,scattered clouds
154,Half Moon Bay,US,37.4636,-122.4286,55.62,77,0,0.0,mist
155,Vilhena,BR,-12.7406,-60.1458,70.92,96,100,4.83,overcast clouds
156,Baghdad,IQ,33.3406,44.4009,49.91,53,0,3.44,clear sky
157,Upernavik,GL,72.7868,-56.1549,2.1,92,100,3.6,overcast clouds
158,Buala,SB,-8.145,159.5921,80.42,83,100,7.16,overcast clouds
159,Alofi,NU,-19.0595,-169.9187,79.72,77,75,6.82,moderate rain
160,Ashqelon,IL,31.6693,34.5715,53.49,69,18,2.33,few clouds
161,Ribeira Grande,PT,38.5167,-28.7,64.8,55,40,5.75,scattered clouds
162,Maragogi,BR,-9.0122,-35.2225,84.83,56,100,13.27,overcast clouds
163,Kiunga,PG,-6.1219,141.2906,72.57,100,100,1.99,overcast clouds
164,Magistralnyy,RU,56.1725,107.4458,-13.23,100,99,1.68,overcast clouds
165,Zatoka,UA,46.0725,30.4654,30.52,73,39,13.29,scattered clouds
166,Agadez,NE,19.75,10.25,64.27,15,3,8.66,clear sky
167,Asha,RU,54.9973,57.2722,3.38,99,55,2.68,broken clouds
168,Ahipara,NZ,-35.1667,173.1667,58.26,90,78,6.69,broken clouds
169,Coffs Harbour,AU,-30.3,153.1333,71.13,94,63,0.0,broken clouds
170,Guangyuan,CN,32.442,105.823,40.17,93,84,3.22,broken clouds
171,Canon City,US,38.441,-105.2424,56.32,16,0,8.99,clear sky
172,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,11.5,light rain
173,Severodvinsk,RU,64.5635,39.8302,17.71,97,41,7.36,scattered clouds
174,Clyde River,CA,70.4692,-68.5914,-5.57,77,100,20.71,light snow
175,Port Lincoln,AU,-34.7333,135.8667,64.54,86,24,13.51,few clouds
176,Torbay,CA,47.6666,-52.7314,36.28,88,100,3.0,light rain
177,Negombo,LK,7.2083,79.8358,82.45,89,40,2.3,scattered clouds
178,Cap Malheureux,MU,-19.9842,57.6142,81.09,76,7,5.01,clear sky
179,Tiksi,RU,71.6872,128.8694,-8.23,100,55,3.69,broken clouds
180,East London,ZA,-33.0153,27.9116,72.07,69,79,10.78,broken clouds
181,Barabinsk,RU,55.3571,78.357,1.0,91,100,6.08,overcast clouds
182,Poum,NC,-20.2333,164.0167,80.8,80,28,11.48,scattered clouds
183,College,US,64.8569,-147.8028,-9.45,69,20,3.44,few clouds
184,Cabo San Lucas,MX,22.8909,-109.9124,75.51,63,0,1.99,clear sky
185,Cidreira,BR,-30.1811,-50.2056,74.98,58,41,12.59,scattered clouds
186,Duncan,US,34.5023,-97.9578,51.39,35,0,9.22,clear sky
187,Mwinilunga,ZM,-11.7358,24.4293,64.92,94,94,3.51,overcast clouds
188,Beisfjord,NO,68.3751,17.5988,24.85,84,98,9.82,overcast clouds
189,Calabozo,VE,8.9242,-67.4293,93.65,26,29,8.1,scattered clouds
190,Waipawa,NZ,-41.4122,175.5153,61.45,87,11,5.77,few clouds
191,Taltal,CL,-25.4,-70.4833,68.13,69,12,6.35,few clouds
192,Tarboro,US,35.8968,-77.5358,35.92,51,100,13.8,overcast clouds
193,Zambezi,ZM,-13.5432,23.1047,68.68,88,100,4.63,moderate rain
194,Vao,NC,-22.6667,167.4833,78.24,86,94,7.47,overcast clouds
195,La Mana,EC,-0.9333,-79.2167,80.17,80,100,4.59,light rain
196,Kaeo,NZ,-35.1,173.7833,60.28,86,62,8.68,broken clouds
197,Korla,CN,41.7597,86.1469,23.92,58,77,5.3,broken clouds
198,Sitka,US,57.0531,-135.33,39.09,87,100,16.11,moderate rain
199,Tezu,IN,27.9167,96.1667,52.54,46,6,4.09,clear sky
200,Chicama,PE,-7.8447,-79.1469,79.41,58,62,10.25,broken clouds
201,Trairi,BR,-3.2778,-39.2689,82.36,65,92,8.19,overcast clouds
202,Naze,JP,28.3667,129.4833,56.12,80,100,10.78,light rain
203,Ocampo,MX,21.65,-101.5,50.63,62,69,4.83,broken clouds
204,Nicoya,CR,10.1483,-85.452,89.15,32,0,16.82,clear sky
205,Beringovskiy,RU,63.05,179.3167,-11.18,100,98,5.14,overcast clouds
206,Sulangan,PH,11.1373,123.7228,81.21,77,51,3.22,broken clouds
207,Haines Junction,CA,60.7522,-137.5108,8.37,97,100,3.76,light snow
208,Morondava,MG,-20.2833,44.2833,82.36,73,0,10.76,clear sky
209,Dourbali,TD,11.8091,15.8632,77.0,13,88,8.39,overcast clouds
210,Vanimo,PG,-2.6741,141.3028,76.75,89,100,7.43,overcast clouds
211,Sharkan,RU,57.2989,53.8712,8.17,99,98,3.27,light snow
212,Bredasdorp,ZA,-34.5322,20.0403,72.28,64,0,15.5,clear sky
213,Port Hardy,CA,50.6996,-127.4199,46.76,81,100,16.11,overcast clouds
214,Atasu,KZ,48.6814,71.6433,16.65,96,97,7.87,light snow
215,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,70,75,5.75,broken clouds
216,Gobabis,NA,-22.45,18.9667,81.05,43,100,15.73,overcast clouds
217,San Clemente,US,33.427,-117.612,65.08,35,100,1.01,overcast clouds
218,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,10.25,scattered clouds
219,Skawina,PL,49.9752,19.8287,35.53,100,75,8.05,snow
220,Kapit,MY,2.0167,112.9333,74.05,97,100,1.21,overcast clouds
221,Acapulco,MX,16.8634,-99.8901,85.82,62,40,3.44,scattered clouds
222,Yerazgavors,AM,40.7,43.75,10.78,72,23,1.14,few clouds
223,Qaqortoq,GL,60.7167,-46.0333,19.9,83,100,11.45,light snow
224,Norman Wells,CA,65.282,-126.8329,-30.96,68,40,2.3,scattered clouds
225,San Patricio,US,28.017,-97.5169,61.21,33,20,2.75,few clouds
226,Porbandar,IN,21.6422,69.6093,69.17,37,0,10.16,clear sky
227,Palauig,PH,15.435,119.9045,78.78,82,11,5.7,few clouds
228,Kalmunai,LK,7.4167,81.8167,77.95,81,28,3.0,scattered clouds
229,Le Vauclin,MQ,14.5452,-60.8388,84.25,58,40,12.66,scattered clouds
230,Tequisquiapan,MX,20.5167,-99.8667,49.75,65,77,8.34,broken clouds
231,Tecoanapa,MX,16.5167,-98.75,85.69,51,62,4.07,broken clouds
232,Novoagansk,RU,61.9449,76.6625,-13.99,100,95,3.87,overcast clouds
233,Iaciara,BR,-14.0958,-46.6317,83.19,57,87,5.77,overcast clouds
234,Besikduzu,TR,41.052,39.2284,40.89,69,100,4.79,overcast clouds
235,Evensk,RU,61.95,159.2333,21.94,85,100,18.84,snow
