City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Derzhavinsk,KZ,2022-01-27 16:57:04,51.1,66.3167,9.46,92,100,4.76
1,Bethel,US,2022-01-27 16:57:05,41.3712,-73.414,28.09,53,40,7.76
2,Macenta,GN,2022-01-27 16:57:05,8.5435,-9.471,92.01,12,14,2.93
3,Boa Vista,BR,2022-01-27 16:54:28,2.8197,-60.6733,89.58,43,75,8.05
4,Provideniya,RU,2022-01-27 16:57:06,64.3833,-173.3,-2.27,95,80,1.57
5,Mataura,NZ,2022-01-27 16:57:06,-46.1927,168.8643,41.49,94,98,2.13
6,Mount Gambier,AU,2022-01-27 16:57:06,-37.8333,140.7667,66.11,88,100,4.61
7,Jadu,LY,2022-01-27 16:57:07,31.953,12.0261,45.43,49,100,1.5
8,Hilo,US,2022-01-27 16:57:07,19.7297,-155.09,67.62,81,14,8.01
9,Kibala,TD,2022-01-27 16:57:07,9.1104,18.3463,93.15,18,0,9.22
10,Pangnirtung,CA,2022-01-27 16:57:08,66.1451,-65.7125,-20.2,52,75,3.44
11,Katsuura,JP,2022-01-27 16:57:08,35.1333,140.3,44.19,75,100,12.19
12,Dikson,RU,2022-01-27 16:57:08,73.5069,80.5464,8.33,93,100,27.6
13,Rikitea,PF,2022-01-27 16:57:09,-23.1203,-134.9692,78.08,77,27,19.24
14,Kaitangata,NZ,2022-01-27 16:57:09,-46.2817,169.8464,47.93,87,100,2.62
15,Saskylakh,RU,2022-01-27 16:57:09,71.9167,114.0833,2.8,83,67,11.88
16,Cape Town,ZA,2022-01-27 16:53:57,-33.9258,18.4232,73.09,62,20,24.16
17,Kahului,US,2022-01-27 16:57:10,20.8947,-156.47,65.68,82,4,2.37
18,Bambous Virieux,MU,2022-01-27 16:55:07,-20.3428,57.7575,77.25,78,40,5.75
19,Albany,US,2022-01-27 16:53:44,42.6001,-73.9662,24.94,52,75,1.99
20,Avarua,CK,2022-01-27 16:55:50,-21.2078,-159.775,78.85,94,75,11.5
21,Ushuaia,AR,2022-01-27 16:56:24,-54.8,-68.3,49.66,71,75,19.57
22,Namibe,AO,2022-01-27 16:57:11,-15.1961,12.1522,77.77,79,36,9.75
23,Bluff,NZ,2022-01-27 16:55:16,-46.6,168.3333,41.81,77,94,4.43
24,Port Alfred,ZA,2022-01-27 16:57:11,-33.5906,26.891,75.42,88,39,9.48
25,Punta Arenas,CL,2022-01-27 16:57:04,-53.15,-70.9167,60.91,55,40,25.32
26,Victoria,HK,2022-01-27 16:57:12,22.2855,114.1577,68.38,87,7,10.0
27,Edeia,BR,2022-01-27 16:52:16,-17.3383,-49.9314,83.89,57,79,7.76
28,Nikolskoye,RU,2022-01-27 16:57:12,59.7035,30.7861,29.71,95,100,7.85
29,Pevek,RU,2022-01-27 16:57:13,69.7008,170.3133,-27.83,100,28,3.02
30,Chokurdakh,RU,2022-01-27 16:57:13,70.6333,147.9167,-24.57,90,44,13.0
31,Atuona,PF,2022-01-27 16:56:24,-9.8,-139.0333,77.99,76,23,19.57
32,Staroye Drozhzhanoye,RU,2022-01-27 16:57:13,54.7266,47.5677,0.95,100,89,5.32
33,Bengkulu,ID,2022-01-27 16:57:14,-3.8004,102.2655,77.56,86,100,3.29
34,Upernavik,GL,2022-01-27 16:57:14,72.7868,-56.1549,-8.09,72,41,7.61
35,Khatanga,RU,2022-01-27 16:57:14,71.9667,102.5,7.36,81,99,17.81
36,Port Lincoln,AU,2022-01-27 16:57:15,-34.7333,135.8667,65.14,89,0,10.13
37,Georgetown,MY,2022-01-27 16:56:45,5.4112,100.3354,82.33,82,20,3.0
38,Hailar,CN,2022-01-27 16:57:15,49.2,119.7,-17.72,100,89,4.47
39,Puerto Ayora,EC,2022-01-27 16:57:16,-0.7393,-90.3518,80.56,73,88,8.66
40,Bredasdorp,ZA,2022-01-27 16:57:16,-34.5322,20.0403,74.52,57,56,8.05
41,Constitucion,CL,2022-01-27 16:57:16,-35.3333,-72.4167,68.2,68,36,8.32
42,Atar,MR,2022-01-27 16:58:17,20.5169,-13.0499,78.67,20,90,8.39
43,Hithadhoo,MV,2022-01-27 16:58:17,-0.6,73.0833,81.57,73,100,17.31
44,Langsa,ID,2022-01-27 16:58:17,4.4683,97.9683,74.14,96,53,2.86
45,Hermanus,ZA,2022-01-27 16:55:28,-34.4187,19.2345,71.91,77,3,9.44
46,Wattegama,LK,2022-01-27 16:58:18,6.7989,81.4808,70.38,83,100,5.57
47,Cabo San Lucas,MX,2022-01-27 16:58:18,22.8909,-109.9124,72.52,46,15,1.99
48,Boffa,GN,2022-01-27 16:58:18,10.1667,-14.0333,87.51,52,62,11.27
49,Severo-Kurilsk,RU,2022-01-27 16:58:19,50.6789,156.125,24.28,72,92,32.53
50,Okha,RU,2022-01-27 16:58:19,53.5739,142.9478,-14.21,99,60,10.38
51,Lenine,UA,2022-01-27 16:58:20,45.2986,35.7771,28.63,81,100,8.84
52,Butaritari,KI,2022-01-27 16:58:20,3.0707,172.7902,81.36,79,24,13.96
53,Kruisfontein,ZA,2022-01-27 16:55:20,-34.0033,24.7314,68.88,86,75,10.07
54,Vaini,TO,2022-01-27 16:58:20,-21.2,-175.2,81.84,80,97,15.61
55,Ostrovnoy,RU,2022-01-27 16:58:21,68.0531,39.5131,20.84,90,99,17.18
56,Vila Franca Do Campo,PT,2022-01-27 16:56:50,37.7167,-25.4333,61.21,71,70,12.06
57,Barrow,US,2022-01-27 16:58:21,71.2906,-156.7887,-22.18,99,82,12.19
58,Petropavlovsk-Kamchatskiy,RU,2022-01-27 16:58:21,53.0452,158.6483,16.39,57,75,6.71
59,Kedrovyy,RU,2022-01-27 16:58:22,56.1667,91.8167,-5.13,99,81,2.48
60,Port Pirie,AU,2022-01-27 16:58:22,-33.1833,138.0167,71.69,76,55,12.44
61,Busselton,AU,2022-01-27 16:58:23,-33.65,115.3333,59.09,74,0,11.79
62,Lavrentiya,RU,2022-01-27 16:58:23,65.5833,-171.0,-11.9,81,46,1.57
63,Port Elizabeth,ZA,2022-01-27 16:55:22,-33.918,25.5701,73.69,88,100,8.05
64,Tazovskiy,RU,2022-01-27 16:58:23,67.4667,78.7,4.06,92,100,13.47
65,Sur,OM,2022-01-27 16:58:24,22.5667,59.5289,70.07,45,0,4.74
66,Airai,TL,2022-01-27 16:58:24,-8.9266,125.4092,61.39,90,84,3.02
67,Thompson,CA,2022-01-27 16:58:24,55.7435,-97.8558,-20.04,69,75,8.05
68,Tuktoyaktuk,CA,2022-01-27 16:58:03,69.4541,-133.0374,-18.4,76,0,11.5
69,Hobart,AU,2022-01-27 16:58:25,-42.8794,147.3294,69.66,76,91,1.99
70,Ponta Do Sol,PT,2022-01-27 16:58:25,32.6667,-17.1,61.43,74,52,3.76
71,Mogadishu,SO,2022-01-27 16:56:15,2.0371,45.3438,78.15,73,89,18.37
72,Puksoozero,RU,2022-01-27 16:58:26,62.5903,40.6066,13.48,92,100,8.79
73,Srivardhan,IN,2022-01-27 16:58:26,18.0333,73.0167,71.22,62,1,8.46
74,Mangrol,IN,2022-01-27 16:58:27,21.1167,70.1167,66.42,36,0,10.87
75,Lebu,CL,2022-01-27 16:58:27,-37.6167,-73.65,66.78,71,3,7.83
76,Saint-Philippe,RE,2022-01-27 16:58:27,-21.3585,55.7679,76.59,78,7,10.07
77,Yellowknife,CA,2022-01-27 16:56:22,62.456,-114.3525,-5.28,84,40,9.22
78,Coihaique,CL,2022-01-27 16:58:28,-45.5752,-72.0662,81.21,29,0,4.61
79,Maryville,US,2022-01-27 16:56:06,35.7565,-83.9705,46.08,49,30,1.01
80,Aswan,EG,2022-01-27 16:58:28,24.0934,32.907,58.3,23,0,9.22
81,Kapaa,US,2022-01-27 16:58:29,22.0752,-159.319,69.12,59,3,2.53
82,Isangel,VU,2022-01-27 16:58:29,-19.55,169.2667,79.7,87,100,7.76
83,Laguna,US,2022-01-27 16:58:29,38.421,-121.4238,56.08,85,0,4.61
84,Henties Bay,NA,2022-01-27 16:58:30,-22.116,14.2845,65.86,82,58,13.85
85,Takoradi,GH,2022-01-27 16:58:30,4.8845,-1.7554,83.32,65,10,11.01
86,Torbay,CA,2022-01-27 16:59:30,47.6666,-52.7314,24.39,82,75,12.66
87,Phan Thiet,VN,2022-01-27 16:59:31,10.9333,108.1,72.57,78,98,4.16
88,Oktyabrskiy,RU,2022-01-27 16:59:31,54.4815,53.471,5.23,98,92,4.54
89,Souillac,MU,2022-01-27 16:59:31,-20.5167,57.5167,77.38,78,40,5.75
90,Vytegra,RU,2022-01-27 16:59:32,61.0064,36.4481,18.82,93,100,11.34
91,Bemidji,US,2022-01-27 16:59:07,47.4736,-94.8803,10.69,65,0,16.11
92,Kuching,MY,2022-01-27 16:59:32,1.55,110.3333,77.22,94,20,0.0
93,Pangai,TO,2022-01-27 16:59:32,-19.8,-174.35,82.98,77,56,15.35
94,Mus,TR,2022-01-27 16:55:16,39.0,41.75,21.04,95,100,2.89
95,Khasan,RU,2022-01-27 16:59:33,42.4308,130.6434,18.75,57,1,19.26
96,Benicarlo,ES,2022-01-27 16:59:33,40.4165,0.4271,51.69,53,0,4.12
97,Union,US,2022-01-27 16:59:34,40.6334,-74.2663,32.27,49,19,4.0
98,Qaanaaq,GL,2022-01-27 16:56:28,77.484,-69.3632,-7.11,67,97,6.8
99,Amapa,BR,2022-01-27 16:59:34,1.0,-52.0,79.41,87,90,3.65
100,Carnarvon,AU,2022-01-27 16:59:34,-24.8667,113.6333,75.27,83,40,11.5
101,Isabela,PH,2022-01-27 16:57:13,6.7085,121.9711,78.67,84,93,3.18
102,Mar Del Plata,AR,2022-01-27 16:59:35,-38.0023,-57.5575,66.22,69,40,11.99
103,Krasnovishersk,RU,2022-01-27 16:59:35,60.4078,57.082,9.84,96,100,5.35
104,Mahebourg,MU,2022-01-27 16:59:35,-20.4081,57.7,77.29,78,40,5.75
105,Dubbo,AU,2022-01-27 16:59:36,-32.25,148.6167,69.93,78,75,8.05
106,Killybegs,IE,2022-01-27 16:59:36,54.6333,-8.45,47.91,72,67,8.41
107,Castro,BR,2022-01-27 16:59:36,-24.7911,-50.0119,70.92,93,97,7.05
108,Talara,PE,2022-01-27 16:59:37,-4.5772,-81.2719,84.96,48,0,16.11
109,Clyde River,CA,2022-01-27 16:59:37,70.4692,-68.5914,-5.57,77,100,35.68
110,Blythe,US,2022-01-27 16:59:37,33.6103,-114.5964,51.03,20,0,5.91
111,Komsomolskiy,UZ,2022-01-27 16:59:38,40.4272,71.7189,36.82,69,0,4.61
112,Dwarka,IN,2022-01-27 16:59:38,22.2394,68.9678,67.95,46,0,12.33
113,Kavaratti,IN,2022-01-27 16:59:38,10.5669,72.642,78.8,69,60,7.47
114,Neunkirchen,DE,2022-01-27 16:59:39,49.35,7.1833,37.09,82,100,1.01
115,Nanortalik,GL,2022-01-27 16:59:39,60.1432,-45.2371,22.48,69,92,28.52
116,Arraial Do Cabo,BR,2022-01-27 16:59:39,-22.9661,-42.0278,94.96,58,0,14.97
117,Turukhansk,RU,2022-01-27 16:59:40,65.8167,87.9833,-3.35,92,100,14.47
118,New Norfolk,AU,2022-01-27 16:59:40,-42.7826,147.0587,69.3,67,96,2.44
119,Cap Estate,LC,2022-01-27 16:59:40,14.0833,-60.95,83.79,65,75,10.36
120,Tasiilaq,GL,2022-01-27 16:59:41,65.6145,-37.6368,12.0,94,100,16.33
121,Buraydah,SA,2022-01-27 16:59:41,26.326,43.975,57.65,26,9,12.66
122,Iqaluit,CA,2022-01-27 16:59:42,63.7506,-68.5145,-9.31,76,100,8.01
123,Stolin,BY,2022-01-27 16:59:42,51.8912,26.846,32.74,97,100,12.44
124,Gurupi,BR,2022-01-27 16:59:42,-11.7292,-49.0686,73.38,90,100,3.8
125,Port Hardy,CA,2022-01-27 16:59:43,50.6996,-127.4199,37.76,93,20,0.0
126,Farsund,NO,2022-01-27 16:59:43,58.0948,6.8047,43.05,6,92,34.0
127,Dingle,PH,2022-01-27 16:58:23,10.9995,122.6711,75.65,92,75,6.22
128,Guerrero Negro,MX,2022-01-27 16:59:12,27.9769,-114.0611,65.08,43,90,2.46
129,Lida,BY,2022-01-27 16:59:44,53.8833,25.2997,32.45,97,100,17.18
130,Silver City,US,2022-01-27 17:00:44,32.7701,-108.2803,47.66,30,0,1.01
131,Zheleznodorozhnyy,RU,2022-01-27 17:00:44,55.7503,38.0042,19.81,95,99,8.81
132,Haines Junction,CA,2022-01-27 17:00:14,60.7522,-137.5108,18.05,97,100,2.28
133,Qabaqcol,AZ,2022-01-27 17:00:45,41.72,46.2647,42.66,64,100,1.5
134,Barra,BR,2022-01-27 16:59:00,-11.0894,-43.1417,82.58,58,100,1.32
135,Sorland,NO,2022-01-27 17:00:45,67.667,12.6934,34.16,87,100,36.33
136,Rivera,UY,2022-01-27 17:00:46,-30.9053,-55.5508,82.6,38,61,15.77
137,Aguai,BR,2022-01-27 17:00:46,-22.0594,-46.9786,81.84,63,20,7.09
138,Ojinaga,MX,2022-01-27 17:00:46,29.5667,-104.4167,52.57,71,0,4.61
139,Mumford,GH,2022-01-27 17:00:47,5.2618,-0.759,82.67,68,8,9.98
140,Jamestown,US,2022-01-27 16:57:48,42.097,-79.2353,23.02,31,97,10.0
141,Gwadar,PK,2022-01-27 17:00:47,25.1216,62.3254,69.28,36,0,4.72
142,Minot,US,2022-01-27 16:56:02,48.2325,-101.2963,13.12,96,96,5.41
143,Abu Samrah,SY,2022-01-27 17:00:48,35.3029,37.1841,39.9,77,27,11.95
144,Kodiak,US,2022-01-27 16:59:01,57.79,-152.4072,34.34,99,100,15.32
145,Broome,US,2022-01-27 17:00:48,42.2506,-75.833,24.62,58,86,5.01
146,Noumea,NC,2022-01-27 16:58:27,-22.2763,166.4572,81.0,99,11,6.91
147,Tiksi,RU,2022-01-27 17:00:49,71.6872,128.8694,-11.92,97,36,11.14
148,Minbu,MM,2022-01-27 17:00:49,20.1833,94.8833,68.23,66,0,6.89
149,Bandiagara,ML,2022-01-27 17:00:49,14.3501,-3.6104,87.51,7,4,9.24
150,Cherskiy,RU,2022-01-27 17:00:50,68.75,161.3,-39.06,97,21,2.19
151,Marrakesh,MA,2022-01-27 17:00:50,31.6315,-8.0083,66.27,37,75,5.75
152,Ilulissat,GL,2022-01-27 17:00:50,69.2167,-51.1,10.42,61,100,16.11
153,Havre-Saint-Pierre,CA,2022-01-27 17:00:51,50.2334,-63.5986,7.83,80,80,4.74
154,Leh,IN,2022-01-27 17:00:51,34.1667,77.5833,-11.11,76,9,3.51
155,Codrington,AU,2022-01-27 17:00:52,-38.2667,141.9667,66.47,95,5,6.2
156,Mercedes,AR,2022-01-27 17:00:52,-34.6515,-59.4307,74.86,41,29,10.98
157,Idio,PH,2022-01-27 17:00:52,11.6238,122.0979,77.38,90,88,6.6
158,Antropovo,RU,2022-01-27 17:00:53,58.3988,43.0066,6.64,98,100,5.97
159,Dryden,CA,2022-01-27 17:00:53,49.7833,-92.7503,-2.87,81,78,10.22
160,Quirinopolis,BR,2022-01-27 17:00:53,-18.4483,-50.4517,86.9,49,99,6.8
161,College,US,2022-01-27 16:58:47,64.8569,-147.8028,-11.42,79,100,2.06
162,Port Keats,AU,2022-01-27 17:00:54,-14.25,129.55,82.0,80,75,12.06
163,Asau,RO,2022-01-27 17:00:54,46.4333,26.4,34.72,91,95,7.02
164,Tono,JP,2022-01-27 17:00:55,39.3167,141.5333,17.69,93,18,3.02
165,Povenets,RU,2022-01-27 17:00:55,62.8487,34.8262,20.08,95,100,9.62
166,Kurchum,KZ,2022-01-27 17:00:56,48.5722,83.6542,-6.2,99,86,3.51
167,Ribeira Grande,PT,2022-01-27 17:00:56,38.5167,-28.7,61.2,67,40,9.22
168,Klaksvik,FO,2022-01-27 17:00:56,62.2266,-6.589,34.72,71,83,11.25
169,Madingou,CG,2022-01-27 17:00:57,-4.1536,13.55,80.17,79,49,2.98
170,Mongoumba,CF,2022-01-27 17:00:58,3.6415,18.5936,85.26,20,28,1.92
171,Huangnihe,CN,2022-01-27 17:00:58,43.5583,128.0239,-1.01,98,28,5.03
172,Santarem,BR,2022-01-27 17:00:58,-2.4431,-54.7083,78.46,81,98,3.83
173,Jimeta,NG,2022-01-27 17:00:59,9.2833,12.4667,87.58,13,68,5.41
174,Aklavik,CA,2022-01-27 17:00:59,68.2191,-135.0107,-10.48,95,100,1.16
175,Chapais,CA,2022-01-27 17:01:59,49.7834,-74.8492,6.58,92,100,14.76
176,Tocache,PE,2022-01-27 17:02:00,-8.1842,-76.5125,87.03,52,100,0.27
177,Adrar,MR,2022-01-27 17:02:00,20.5022,-10.0711,82.42,8,98,12.48
178,Newport,GB,2022-01-27 17:02:01,51.5877,-2.9984,51.69,73,17,4.0
179,Nome,US,2022-01-27 16:59:19,64.5011,-165.4064,-13.07,84,0,5.21
180,Abu Zabad,SD,2022-01-27 17:02:01,12.35,29.25,70.21,17,33,16.37
181,Mangai,CD,2022-01-27 17:02:02,-4.05,19.5333,78.84,61,91,2.21
182,Shubarkuduk,KZ,2022-01-27 17:02:02,49.1447,56.4872,18.59,85,100,11.79
183,Bandipur,NP,2022-01-27 17:02:03,27.9333,84.4167,44.02,79,36,1.57
184,Jiuquan,CN,2022-01-27 17:02:03,39.7432,98.5174,20.53,41,51,2.1
185,Baca,MX,2022-01-27 17:02:04,21.1,-89.4167,84.22,58,35,6.08
186,Nardaran,AZ,2022-01-27 17:02:04,40.5561,50.0056,40.64,87,100,23.02
187,Changanacheri,IN,2022-01-27 17:02:05,9.4667,76.55,74.44,89,97,2.46
188,Poya,NC,2022-01-27 17:02:05,-21.35,165.15,77.38,87,20,4.45
